Primary URL,Page,Method,Domain,Context,Alternative 1,Alt 1 Method,Alternative 2,Alt 2 Method,Alternative 3,Alt 3 Method
"https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2019182202",5,"annotation","patentscope.wipo.int","",,,,,,
"https://doi.org/10.8080/1020180064925",5,"annotation","doi.org","",,,,,,
"https://patents.google.com/patent/US20240330915A1/en?oq=US-20240330915-A1",5,"annotation","patents.google.com","",,,,,,
"https://doi.org/10.8080/1020230042651",6,"annotation","doi.org","",,,,,,
"https://doi.org/10.8080/1020190102905",6,"annotation","doi.org","",,,,,,
"https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2019035573",6,"annotation","patentscope.wipo.int","",,,,,,
"https://doi.org/10.8080/1020200146111",6,"annotation","doi.org","",,,,,,
"https://infrablockchain.net/documents/patent/US-18-709142-2.pdf",6,"annotation","infrablockchain.net","",,,,,,
"https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2023085802",6,"annotation","patentscope.wipo.int","",,,,,,
"https://doi.org/10.8080/1020230165942",6,"annotation","doi.org","",,,,,,
"https://doi.org/10.8080/1020210138662",6,"annotation","doi.org","",,,,,,
"https://doi.org/10.8080/1020220130057",6,"annotation","doi.org","",,,,,,
"https://doi.org/10.8080/1020210090319",6,"annotation","doi.org","",,,,,,
"https://doi.org/10.8080/1020210033409",7,"annotation","doi.org","",,,,,,
"https://patents.google.com/patent/US20240185994A1/en?oq=US-20240185994-A1",7,"annotation","patents.google.com","",,,,,,
"https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2022196851",7,"annotation","patentscope.wipo.int","",,,,,,
"https://doi.org/10.8080/1020210033413",7,"annotation","doi.org","",,,,,,
"https://doi.org/10.8080/1020210033415",7,"annotation","doi.org","",,,,,,
"https://doi.org/10.8080/1020210120508",7,"annotation","doi.org","",,,,,,
"https://doi.org/10.8080/1020220100263",7,"annotation","doi.org","",,,,,,
"https://doi.org/10.8080/1020220100264",7,"annotation","doi.org","",,,,,,
"https://doi.org/10.8080/1020220108933",7,"annotation","doi.org","",,,,,,
"https://doi.org/10.8080/1020230051359",7,"annotation","doi.org","",,,,,,
"https://drive.google.com/file/d/1GHsLsDtHmC7sqMNnlJKmsmTejqIZ5o2X/view",8,"annotation","drive.google.com","",,,,,,
"https://drive.google.com/file/d/1JG3SJguu2JamQ9Tty6DZWWyXjlZcd3Km/view",8,"annotation","drive.google.com","",,,,,,
"https://drive.google.com/file/d/1X9p4OYclhljcdXlEKerdlwP3LKUekEH0/view",8,"annotation","drive.google.com","",,,,,,
"https://drive.google.com/file/d/18BeRgQsaK5FaMGbI0PHd-ZEtVLgLsZia/view",8,"annotation","drive.google.com","",,,,,,
"https://drive.google.com/file/d/1b5M4Fi99d6KgPxgVOe0oqhH5YfRqBtlg/view",8,"annotation","drive.google.com","",,,,,,
"https://drive.google.com/file/d/1eWVzNDvcP45M9mXmw6Qeqa9AhHFhuedt/view",8,"annotation","drive.google.com","",,,,,,
"https://drive.google.com/file/d/13Mo2GXldfCaHymwjWdYZMMStD4wV3vCV/view",8,"annotation","drive.google.com","",,,,,,
"https://drive.google.com/file/d/1PP7vuscZ8uYqEL16jiVtworqUjWPMW5G/view",8,"annotation","drive.google.com","",,,,,,
"https://drive.google.com/file/d/1YSTZqeGg9lpZ4ADoU-oKGIJDnb9HZPOI/view",8,"annotation","drive.google.com","",,,,,,
"https://drive.google.com/file/d/1ARhDshUAvA5uKUfafI0uTV51wix5BJYC/view",8,"annotation","drive.google.com","",,,,,,
"https://drive.google.com/file/d/1S3rYDBCfdPnb2Q5pKFoWr86Wjp_q8BQ9/view",8,"annotation","drive.google.com","",,,,,,
"https://drive.google.com/file/d/1a-75emgRGxEGATmsx9sghPEoeKfKkImU/view",9,"annotation","drive.google.com","",,,,,,
"https://drive.google.com/file/d/1ZeyjDHJEudOmsg-aTPMNpLyuaBMQrb_1/view",9,"annotation","drive.google.com","",,,,,,
"https://drive.google.com/file/d/1VS67pmRUKVKtJQR1KHdx5M6z8ngdXccO/view",9,"annotation","drive.google.com","",,,,,,
"https://drive.google.com/file/d/1u9YNk6L0o0BbeM-o6VxfgP3tX06Vbi7m/view",9,"annotation","drive.google.com","",,,,,,
"https://drive.google.com/file/d/19-EL_D9zk3Rq8jEX-KQTWiCuyWshcFeq/view",9,"annotation","drive.google.com","",,,,,,
"https://drive.google.com/file/d/1mcMdVSkbYhyXLk5JER9ushlPOWq1rVHh/view",9,"annotation","drive.google.com","",,,,,,
"https://drive.google.com/file/d/1SLq7XqvuAlVpXYzb_2FgHDJvTrv12SES/view",9,"annotation","drive.google.com","",,,,,,
"https://drive.google.com/file/d/10ENNzqSfQG7N6ewGjpJZvwNfu3EHDv8k/view",9,"annotation","drive.google.com","",,,,,,
"https://drive.google.com/file/d/1uvZLQliQuqfSbfF90TrJvIPbym2BrvSh/view",9,"annotation","drive.google.com","",,,,,,
"https://drive.google.com/file/d/1ukeecuhuiPYUon50585CyZDFlwZKKji8/view",9,"annotation","drive.google.com","",,,,,,
"https://drive.google.com/file/d/196yJY72GnSZj-bIjl5J33IfGuSewF7NH/view",9,"annotation","drive.google.com","",,,,,,
"https://drive.google.com/file/d/1Q5qLmb5wdSlMKyBCcMtgPhQwxBIp-Hf6/view",9,"annotation","drive.google.com","",,,,,,
"https://drive.google.com/file/d/1cHyG9RAITG8NIIBwTA7F2nfbfYlBW8i4/view",9,"annotation","drive.google.com","",,,,,,
"https://drive.google.com/file/d/1O8Xq14o_GTQRt67J7GiAfyh2WfqVWXeg/view",9,"annotation","drive.google.com","",,,,,,
"https://drive.google.com/file/d/1-zZrlHxamy0YwdeYQ07Sj37ZwTZ1Ztf3/view",9,"annotation","drive.google.com","",,,,,,
"https://drive.google.com/file/d/1Q4k36EETS83pFD6BFQaaEId_KReRKWN0/view",9,"annotation","drive.google.com","",,,,,,
"https://drive.google.com/file/d/1oQPaNxGUBZnE4xBPD5VZ0z2QwiWnz_WZ/view",9,"annotation","drive.google.com","",,,,,,
"https://drive.google.com/file/d/1774kFSkrD-8DohVzUcAQx3hX-uIGjnez/view",9,"annotation","drive.google.com","",,,,,,
